"","Car_Name","Selling_Price","Present_Price","Kms_Driven","Owner","Fuel_Type.CNG","Fuel_Type.Diesel","Fuel_Type.Petrol","Seller_Type.Dealer","Seller_Type.Individual","Transmission.Automatic","Transmission.Manual"
"1","ritz",3.35,5.59,27000,0,0,0,1,1,0,0,1
"2","sx4",4.75,9.54,43000,0,0,1,0,1,0,0,1
"3","ciaz",7.25,9.85,6900,0,0,0,1,1,0,0,1
"4","wagon r",2.85,4.15,5200,0,0,0,1,1,0,0,1
"5","swift",4.6,6.87,42450,0,0,1,0,1,0,0,1
"6","vitara brezza",9.25,9.83,2071,0,0,1,0,1,0,0,1
"7","ciaz",6.75,8.12,18796,0,0,0,1,1,0,0,1
"8","s cross",6.5,8.61,33429,0,0,1,0,1,0,0,1
"9","ciaz",8.75,8.89,20273,0,0,1,0,1,0,0,1
"10","ciaz",7.45,8.92,42367,0,0,1,0,1,0,0,1
"11","alto 800",2.85,3.6,2135,0,0,0,1,1,0,0,1
"12","ciaz",6.85,10.38,51000,0,0,1,0,1,0,0,1
"13","ciaz",7.5,9.94,15000,0,0,0,1,1,0,1,0
"14","ertiga",6.1,7.71,26000,0,0,0,1,1,0,0,1
"15","dzire",2.25,7.21,77427,0,0,0,1,1,0,0,1
"16","ertiga",7.75,10.79,43000,0,0,1,0,1,0,0,1
"17","ertiga",7.25,10.79,41678,0,0,1,0,1,0,0,1
"18","ertiga",7.75,10.79,43000,0,0,1,0,1,0,0,1
"19","wagon r",3.25,5.09,35500,0,1,0,0,1,0,0,1
"20","sx4",2.65,7.98,41442,0,0,0,1,1,0,0,1
"21","alto k10",2.85,3.95,25000,0,0,0,1,1,0,0,1
"22","ignis",4.9,5.71,2400,0,0,0,1,1,0,0,1
"23","sx4",4.4,8.01,50000,0,0,0,1,1,0,1,0
"24","alto k10",2.5,3.46,45280,0,0,0,1,1,0,0,1
"25","wagon r",2.9,4.41,56879,0,0,0,1,1,0,0,1
"26","swift",3,4.99,20000,0,0,0,1,1,0,0,1
"27","swift",4.15,5.87,55138,0,0,0,1,1,0,0,1
"28","swift",6,6.49,16200,0,0,0,1,0,1,0,1
"29","alto k10",1.95,3.95,44542,0,0,0,1,1,0,0,1
"30","ciaz",7.45,10.38,45000,0,0,1,0,1,0,0,1
"31","ritz",3.1,5.98,51439,0,0,1,0,1,0,0,1
"32","ritz",2.35,4.89,54200,0,0,0,1,1,0,0,1
"33","swift",4.95,7.49,39000,0,0,1,0,1,0,0,1
"34","ertiga",6,9.95,45000,0,0,1,0,1,0,0,1
"35","dzire",5.5,8.06,45000,0,0,1,0,1,0,0,1
"36","sx4",2.95,7.74,49998,0,1,0,0,1,0,0,1
"37","dzire",4.65,7.2,48767,0,0,0,1,1,0,0,1
"38","800",0.35,2.28,127000,0,0,0,1,0,1,0,1
"39","alto k10",3,3.76,10079,0,0,0,1,1,0,0,1
"40","sx4",2.25,7.98,62000,0,0,0,1,1,0,0,1
"41","baleno",5.85,7.87,24524,0,0,0,1,1,0,1,0
"42","alto k10",2.55,3.98,46706,0,0,0,1,1,0,0,1
"43","sx4",1.95,7.15,58000,0,0,0,1,1,0,0,1
"44","dzire",5.5,8.06,45780,0,0,1,0,1,0,0,1
"45","omni",1.25,2.69,50000,0,0,0,1,1,0,0,1
"46","ciaz",7.5,12.04,15000,0,0,0,1,1,0,1,0
"47","ritz",2.65,4.89,64532,0,0,0,1,1,0,0,1
"48","wagon r",1.05,4.15,65000,0,0,0,1,1,0,0,1
"49","ertiga",5.8,7.71,25870,0,0,0,1,1,0,0,1
"50","ciaz",7.75,9.29,37000,0,0,0,1,1,0,1,0
"51","fortuner",14.9,30.61,104707,0,0,1,0,1,0,1,0
"52","fortuner",23,30.61,40000,0,0,1,0,1,0,1,0
"53","innova",18,19.77,15000,0,0,1,0,1,0,1,0
"54","fortuner",16,30.61,135000,0,0,1,0,0,1,1,0
"55","innova",2.75,10.21,90000,0,0,0,1,0,1,0,1
"56","corolla altis",3.6,15.04,70000,0,0,0,1,1,0,1,0
"57","etios cross",4.5,7.27,40534,0,0,0,1,1,0,0,1
"58","corolla altis",4.75,18.54,50000,0,0,0,1,1,0,0,1
"59","etios g",4.1,6.8,39485,1,0,0,1,1,0,0,1
"60","fortuner",19.99,35.96,41000,0,0,1,0,1,0,1,0
"61","corolla altis",6.95,18.61,40001,0,0,0,1,1,0,0,1
"62","etios cross",4.5,7.7,40588,0,0,0,1,1,0,0,1
"63","fortuner",18.75,35.96,78000,0,0,1,0,1,0,1,0
"64","fortuner",23.5,35.96,47000,0,0,1,0,1,0,1,0
"65","fortuner",33,36.23,6000,0,0,1,0,1,0,1,0
"66","etios liva",4.75,6.95,45000,0,0,1,0,1,0,0,1
"67","innova",19.75,23.15,11000,0,0,0,1,1,0,1,0
"68","fortuner",9.25,20.45,59000,0,0,1,0,1,0,0,1
"69","corolla altis",4.35,13.74,88000,0,0,0,1,1,0,0,1
"70","corolla altis",14.25,20.91,12000,0,0,0,1,1,0,0,1
"71","etios liva",3.95,6.76,71000,0,0,1,0,1,0,0,1
"72","corolla altis",4.5,12.48,45000,0,0,1,0,1,0,0,1
"73","corolla altis",7.45,18.61,56001,0,0,0,1,1,0,0,1
"74","etios liva",2.65,5.71,43000,0,0,0,1,1,0,0,1
"75","etios cross",4.9,8.93,83000,0,0,1,0,1,0,0,1
"76","etios g",3.95,6.8,36000,0,0,0,1,1,0,0,1
"77","corolla altis",5.5,14.68,72000,0,0,0,1,1,0,0,1
"78","corolla",1.5,12.35,135154,0,0,0,1,1,0,1,0
"79","corolla altis",5.25,22.83,80000,0,0,0,1,1,0,1,0
"80","fortuner",14.5,30.61,89000,0,0,1,0,1,0,1,0
"81","corolla altis",14.73,14.89,23000,0,0,1,0,1,0,0,1
"82","etios gd",4.75,7.85,40000,0,0,1,0,1,0,0,1
"83","innova",23,25.39,15000,0,0,1,0,1,0,1,0
"84","innova",12.5,13.46,38000,0,0,1,0,1,0,0,1
"85","innova",3.49,13.46,197176,0,0,1,0,1,0,0,1
"86","camry",2.5,23.73,142000,3,0,0,1,0,1,1,0
"87","land cruiser",35,92.6,78000,0,0,1,0,1,0,0,1
"88","corolla altis",5.9,13.74,56000,0,0,0,1,1,0,0,1
"89","etios liva",3.45,6.05,47000,0,0,0,1,1,0,0,1
"90","etios g",4.75,6.76,40000,0,0,0,1,1,0,0,1
"91","corolla altis",3.8,18.61,62000,0,0,0,1,1,0,0,1
"92","innova",11.25,16.09,58242,0,0,1,0,1,0,0,1
