year,GDP_China,GDP_USA,BPI,UUR,CPI,PPI,M2,PII,PIE,RECI,AFRE ,C2U,BLR_DS,BLR_Dslogit,BLR_GS,BLR_Gslogit
6-Sep,12.2,0.6,100.5,-2.380952,101.2666667,103.4933333,17.7,106.7666667,103.3333333,103.32,2897.666667,0.126666667,9.31,2.276358006,2.91,3.507485302
6-Dec,12.5,3.5,99.11666667,-2.380952,102.0333333,102.96,16.93333333,105.6666667,102.9666667,103.4266667,2506.333333,0.13,9.22,2.287063959,2.81,3.543483342
7-Mar,13.8,0.9,101.5133333,-2.380952,102.7333333,102.8666667,17.01,104.7333333,105.3,101.8066667,5434,0.13,8.2,2.415478143,2.78,3.554525524
7-Jun,15,2.3,108.51,-2.380952,103.6,102.7333333,16.96666667,106.7333333,105.8666667,103.2,5656.333333,0.13,8.14,2.423475499,2.59,3.627270999
7-Sep,14.3,2.2,118.02,-2.439024,106.1,102.5666667,18.36666667,106.2,104.4666667,104.49,5117,0.13,7.83,2.465672188,2.41,3.701148282
7-Dec,13.9,2.5,127.6,-2.439024,106.6333333,104.4,17.9,108.4666667,106.4,106.26,3680.666667,0.13,8.05,2.43557286,2.15,3.817967852
8-Mar,11.5,-2.3,136.2533333,-2.439024,108.0333333,106.9,17.56666667,116.8333333,109.1333333,105.46,7327,0.14,7.55,2.505120395,2.01,3.886730711
8-Jun,10.9,2.1,144.2533333,-2.439024,107.7666667,108.3666667,17.46666667,120.9333333,110.5333333,103.4966667,6243.333333,0.14,7.43,2.522439256,1.65,4.087757257
8-Sep,9.5,-2.1,145.0066667,0,105.2666667,109.7333333,15.9,120.7,108.6666667,101.7633333,5041.333333,0.146666667,7.35,2.53412864,1.59,4.125408409
8-Dec,7.1,-8.4,104.8033333,5,102.5333333,102.5,15.86666667,100.9,106.3333333,98.2,4656.333333,0.15,2.81,3.543483342,1.51,4.177845369
9-Mar,6.4,-4.4,93.61666667,7.5,99.4,95.4,21.56666667,84.43333333,98.06666667,94.8,15710.66667,0.15,2.3,3.748992436,1.17,4.436397454
9-Jun,8.2,-0.6,100.2133333,7.5,98.46666667,92.8,26.71666667,81.36666667,93.03333333,95.75,13826,0.15,1.99,3.896934876,1.03,4.565257972
9-Sep,10.6,1.5,109.29,7.5,98.73333333,92.3,28.75333333,82.53333333,91.5,99.72333333,8969.666667,0.15,1.86,3.965818543,0.99,4.605271191
9-Dec,11.9,4.5,114.7866667,2.380952,100.6666667,97.93333333,28.97666667,98.3,93.43333333,102.8233333,7862,0.15,1.8,3.99921955,0.95,4.646918068
10-Mar,12.2,1.5,120.72,-2.325581,102.2,105.2,24.70666667,115.5666667,96.86666667,105.68,15085.66667,0.15,1.59,4.125408409,0.86,4.747355882
