"","Name","Age","Nationality","Overall","Potential","Club","Value","Wage","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Position","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes"
"1","L. Messi",31,"Argentina",94,94,"FC Barcelona",110500000,565000,0,5,4,4,1,170.18,72.1224,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8
"2","Cristiano Ronaldo",33,"Portugal",94,94,"Juventus",7.7e+07,405000,1,5,4,5,1,187.96,83.0088,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11
"3","Neymar Jr",26,"Brazil",92,93,"Paris Saint-Germain",118500000,290000,1,5,5,5,1,175.26,68.04,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11
"4","De Gea",27,"Spain",91,93,"Manchester United",7.2e+07,260000,1,4,3,1,0,193.04,76.2048,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94
"5","K. De Bruyne",27,"Belgium",91,92,"Manchester City",1.02e+08,355000,1,4,5,4,1,180.34,69.8544,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13
"6","E. Hazard",27,"Belgium",91,91,"Chelsea",9.3e+07,340000,1,4,4,4,1,172.72,73.9368,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8
"7","L. Modri<U+0107>",32,"Croatia",91,91,"Real Madrid",6.7e+07,420000,1,4,4,4,1,172.72,66.2256,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9
"8","L. Su¨¢rez",31,"Uruguay",91,91,"FC Barcelona",8e+07,455000,1,5,4,3,1,182.88,86.184,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37
"9","Sergio Ramos",32,"Spain",91,91,"Real Madrid",5.1e+07,380000,1,4,3,3,0,182.88,82.1016,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11
"10","J. Oblak",25,"Slovenia",90,93,"Atl¨¦tico Madrid",6.8e+07,94000,1,3,3,1,0,187.96,87.0912,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89
"11","R. Lewandowski",29,"Poland",90,90,"FC Bayern M¨¹nchen",7.7e+07,205000,1,4,4,4,1,182.88,79.8336,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10
"12","T. Kroos",28,"Germany",90,90,"Real Madrid",76500000,355000,1,4,5,3,1,182.88,76.2048,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10
"13","D. God¨ªn",32,"Uruguay",90,90,"Atl¨¦tico Madrid",4.4e+07,125000,1,3,3,2,0,187.96,78.0192,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15
"14","David Silva",32,"Spain",90,90,"Manchester City",6e+07,285000,0,4,2,4,1,172.72,67.1328,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12
"15","N. Kant¨¦",27,"France",89,90,"Chelsea",6.3e+07,225000,1,3,3,2,0,167.64,72.1224,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10
"16","P. Dybala",24,"Argentina",89,94,"Juventus",8.9e+07,205000,0,3,3,4,1,177.8,74.844,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8
"17","H. Kane",24,"England",89,91,"Tottenham Hotspur",83500000,205000,1,3,4,3,1,187.96,88.9056,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11
"18","A. Griezmann",27,"France",89,90,"Atl¨¦tico Madrid",7.8e+07,145000,0,4,3,4,1,175.26,73.0296,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14
"19","M. ter Stegen",26,"Germany",89,92,"FC Barcelona",5.8e+07,240000,1,3,4,1,0,187.96,84.8232,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90
"20","T. Courtois",26,"Belgium",89,90,"Real Madrid",53500000,240000,0,4,2,1,0,198.12,96.1632,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,85,91,72,86,88
"21","Sergio Busquets",29,"Spain",89,89,"FC Barcelona",51500000,315000,1,4,3,3,0,187.96,76.2048,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13
"22","E. Cavani",31,"Uruguay",89,89,"Paris Saint-Germain",6e+07,2e+05,1,4,4,3,1,185.42,77.112,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10
"23","M. Neuer",32,"Germany",89,89,"FC Bayern M¨¹nchen",3.8e+07,130000,1,5,4,1,0,193.04,92.0808,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,90,86,91,87,87
"24","S. Ag¨¹ero",30,"Argentina",89,89,"Manchester City",64500000,3e+05,1,4,4,4,1,172.72,69.8544,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14
"25","G. Chiellini",33,"Italy",89,89,"Juventus",2.7e+07,215000,0,4,3,2,0,187.96,84.8232,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3
"26","K. Mbapp¨¦",19,"France",88,95,"Paris Saint-Germain",8.1e+07,1e+05,1,3,4,5,1,177.8,73.0296,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6
"27","M. Salah",26,"Egypt",88,89,"Liverpool",69500000,255000,0,3,3,4,1,175.26,71.2152,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14
"28","Casemiro",26,"Brazil",88,90,"Real Madrid",59500000,285000,1,3,3,2,0,185.42,83.916,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12
"29","J. Rodr¨ªguez",26,"Colombia",88,89,"FC Bayern M¨¹nchen",69500000,315000,0,4,3,4,1,180.34,78.0192,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14
"30","L. Insigne",27,"Italy",88,88,"Napoli",6.2e+07,165000,1,3,3,4,1,162.56,58.968,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10
"31","Isco",26,"Spain",88,91,"Real Madrid",73500000,315000,1,3,3,4,1,175.26,78.9264,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6
"32","C. Eriksen",26,"Denmark",88,91,"Tottenham Hotspur",73500000,205000,1,3,5,4,1,180.34,76.2048,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6
"33","Coutinho",26,"Brazil",88,89,"FC Barcelona",69500000,340000,1,3,4,5,1,172.72,68.04,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6
"34","P. Aubameyang",29,"Gabon",88,88,"Arsenal",5.9e+07,265000,1,3,4,4,1,187.96,79.8336,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9
"35","M. Hummels",29,"Germany",88,88,"FC Bayern M¨¹nchen",4.6e+07,160000,1,4,3,3,0,190.5,92.0808,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6
"36","Marcelo",30,"Brazil",88,88,"Real Madrid",4.3e+07,285000,0,4,4,5,0,175.26,79.8336,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9
"37","G. Bale",28,"Wales",88,88,"Real Madrid",6e+07,355000,0,4,3,4,1,185.42,82.1016,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6
"38","H. Lloris",31,"France",88,88,"Tottenham Hotspur",3.6e+07,150000,0,4,1,1,0,187.96,82.1016,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92
"39","G. Higua¨ªn",30,"Argentina",88,88,"Milan",5.7e+07,245000,1,4,4,3,1,185.42,88.9056,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10
"40","Thiago Silva",33,"Brazil",88,88,"Paris Saint-Germain",2.4e+07,165000,1,4,3,2,0,182.88,82.1016,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10
"41","S. Handanovi<U+010D>",33,"Slovenia",88,88,"Inter",3e+07,110000,1,3,2,1,0,193.04,92.0808,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89
"42","G. Buffon",40,"Italy",88,88,"Paris Saint-Germain",4e+06,77000,1,4,2,1,0,193.04,92.0808,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83
"43","S. Umtiti",24,"France",87,92,"FC Barcelona",5.7e+07,205000,0,3,3,2,0,182.88,74.844,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15
"44","M. Icardi",25,"Argentina",87,90,"Inter",64500000,130000,1,3,4,3,1,180.34,74.844,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9
"45","K. Koulibaly",27,"Senegal",87,90,"Napoli",5.1e+07,115000,1,3,3,2,0,187.96,88.9056,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5
"46","P. Pogba",25,"France",87,91,"Manchester United",6.4e+07,210000,1,4,4,5,0,193.04,83.916,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3
"47","K. Navas",31,"Costa Rica",87,87,"Real Madrid",30500000,195000,1,3,3,1,0,185.42,79.8336,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
"48","R. Lukaku",25,"Belgium",87,89,"Manchester United",62500000,230000,0,3,3,3,1,190.5,93.8952,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10
"49","C. Immobile",28,"Italy",87,87,"Lazio",5.2e+07,115000,1,3,4,3,1,185.42,84.8232,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6
"50","Jordi Alba",29,"Spain",87,87,"FC Barcelona",3.8e+07,250000,0,3,3,3,0,170.18,68.04,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13
"51","D. Mertens",31,"Belgium",87,87,"Napoli",4.5e+07,135000,1,3,4,4,1,170.18,60.7824,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4
"52","J. Vertonghen",31,"Belgium",87,87,"Tottenham Hotspur",3.4e+07,155000,0,3,3,3,0,187.96,86.184,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7
"53","M. Ham<U+0161>¨ªk",30,"Slovakia",87,87,"Napoli",46500000,125000,1,3,5,3,1,182.88,78.9264,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14
"54","I. Rakiti<U+0107>",30,"Croatia",87,87,"FC Barcelona",46500000,260000,1,4,3,3,1,182.88,78.0192,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9
"55","Piqu¨¦",31,"Spain",87,87,"FC Barcelona",3.4e+07,240000,1,4,3,2,0,193.04,84.8232,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8
"56","L. San¨¦",22,"Germany",86,92,"Manchester City",6.1e+07,195000,0,2,3,4,1,182.88,74.844,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14
"57","Bernardo Silva",23,"Portugal",86,91,"Manchester City",59500000,180000,0,2,3,4,1,172.72,63.9576,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9
"58","Ederson",24,"Brazil",86,90,"Manchester City",41500000,125000,0,2,3,1,0,187.96,86.184,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,91,82,87
